"ConversionTagID","ConversionName","AdvertiserID","Type","PageURL","CreationDate","Group1","Group2","Group3","Group4","Group5","String1","String2","String3","String4","String5","String6","String7","String8","String9","String10","String11","String12","String13","String14","String15","String16","String17","String18","String19","String20"
"335387","Channel_LandingPage_Services","89647","Counter","","6/20/2013 5:15:01 PM","Channel","Services","","",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"335388","Channel_LandingPage_Programs","89647","Counter","","6/20/2013 5:15:24 PM","Channel","Programs","","",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"335389","Channel_LandingPage_Resources","89647","Counter","","6/20/2013 5:15:52 PM","Channel","Resources","","",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"335390","Channel_LandingPage_BecomePartner","89647","Counter","","6/20/2013 5:16:30 PM","Channel","Become a Partner","","",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"339460","Lenovo_Homepage","89647","Counter","","7/3/2013 3:14:22 PM","","","","",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"346951","Kingston|Z87|DE","61253","Counter","http://www.kingston.com/de/memory/hyperx/genesis/z87dualchannel","7/30/2013 11:36:09 AM","","","","",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"346952","Kingston|Z87|US","61253","Counter","http://www.kingston.com/us/memory/hyperx/genesis/z87dualchannel","7/30/2013 11:36:18 AM","","","","",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"347923","Sophos|2013|AllPages","93593","Counter","http://www.sophos.com","8/2/2013 6:47:35 PM","","","","",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"349219","Sophos|2013|UTMPage","93593","Counter","","8/8/2013 1:57:31 AM","","","","",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"349551","Sophos|2013|MobilePage","93593","Counter","","8/8/2013 7:30:24 PM","","","","",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"355170","TY ECSP","61409","Counter","http://www.eset.com/us/download/thank-you-ecsp/file/10464/?trl=cp","8/28/2013 1:57:58 AM","","","","",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"355174","TY Linux","61409","Counter","http://www.eset.com/us/download/thank-you-eav-linux/file/9203/?trl=el","8/28/2013 2:07:32 AM","","","","",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"363320","Homepage","95500","Counter","http://www.plantronics.com/us/","9/16/2013 6:41:19 PM","","","","",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"363722","Landing Page","95500","Counter","","9/17/2013 8:58:52 PM","LP_Visit Enterprise","","","",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
