"StateID","StateName"
"26131","Binh Duong"
"30232","Binh Phuoc"
"26119","Binh Thuan"
"11619","Bio-Bio"
"29030","Biombo"
"29401","Birgu"
"29403","Birkirkara"
"25352","Birmingham"
"29406","Birzebbuga"
"28143","Bishkek"
"25257","Biskra"
"25587","Bissau"
"29918","Bistrica Ob Sotli"
"15558","Bistrita-Nasaud"
"24188","Bitlis"
"25774","Bitola"
"29752","Bizerte"
"24701","Bjelovarsko-Bilogorska"
"30387","Black Point"
"29659","Black River"
"25344","Blackburn With Darwen"
"25360","Blackpool"
"25351","Blaenau Gwent"
"28283","Blagoevgrad"
"29756","Bled"
"11386","Blekinge Lan"
"25259","Blida"
"29919","Bloke"
"29689","Boaco"
"30186","Bobonaro"
"25888","Bocas Del Toro"
"29706","Boe"
"29132","Bogdanci"
"29176","Bogovinje"
"25980","Bohinj"
"24826","Bohol"
"29021","Boke"
"29202","Bokeo"
"29031","Bolama"
"29204","Bolikhamxai"
"20242","Bolivar"
"24763","Bolivar"
"11640","Bolivar"
"177","Bolivia"
"1316","Bologna"
"25359","Bolton"
"19079","Bolu"
"10826","Bolzano"
"29242","Bomi"
"25171","Bonaire"
"25130","Bonaire/Sint Eustatius/Saba"
"25129","Bonaire/Sint Eustatius/Saba"
"29244","Bong"
"29186","Boqueron"
"25281","Bordj-Bou-Arreridj"
"29742","Borgo Maggiore"
"25168","Borgou"
"30162","Borkou"
"29408","Bormla"
"14697","Bornholm"
"25835","Borno"
"29758","Borovnica"
"25953","Borski Okrug"
"11781","Borsod-Abauj-Zemplen"
"29236","Bosilovo"
"355","Bosnia And Herzegowina"
"12069","Botosani"
"11617","Botswana"
"495","Botswana"
"28661","Boucle Du Mouhoun"
"28943","Bouenza"
"25260","Bouira"
"28973","Boumerdes"
"9857","Bourgogne"
"25355","Bournemouth"
"23752","Bouvet Island"
"6151","Bouvet Island"
"29759","Bovec"
"24910","Boyaca"
"11081","Brabant Wallon"
"25361","Bracknell Forest"
"25362","Bradford"
"15518","Braga"
"15521","Braganca"
"12070","Braila"
"25815","Brakna"
"10385","Brandenburg"
"25950","Branicevski Okrug"
"29920","Braslovce"
"12071","Brasov"
"25969","Bratislavsky Kraj"
"465","Brazil"
"25221","Brazzaville"
"28311","Brcko Distrikt"
"29760","Brda"
"10477","Bremen"
"25347","Brent"
"10828","Brescia"
"25181","Brestskaja Oblast'"
"9862","Bretagne"
"25981","Brezice"
"29761","Brezovica"
"29221","Briceni"
"25350","Bridgend"
"25357","Brighton And Hove"
"10829","Brindisi"
"25364","Bristol"
"56","British Columbia"
"5075","British Indian Ocean Territory"
"10378","British Indian Ocean Territory"
"8960","British Virgin Islands"
"792","British Virgin Islands"
"29194","Brocenu Novads"
"24965","Brodsko-Posavska"
"30125","Brokopondo"
"25363","Bromley"
"25575","Brong-Ahafo"
"11614","Brunei Darussalam"
"485","Brunei Darussalam"
"25195","Brunei Muara"
"12292","Brussels"
"28295","Bruxelles-Capitale"
"29243","Brvenica"
"12099","Bryanskaya Oblast'"
"29707","Buada"
"23804","Buahahr"
"28636","Bubanza"
"12072","Bucaresti"
"25353","Buckinghamshire"
"11773","Budapest"
"25802","Budva"
"9788","Buenos Aires"
"25167","Bujumbura Mairie"
"28637","Bujumbura Rural"
"24834","Bukidnon"
"12048","Bulacan"
"26153","Bulawayo"
"29641","Bulgan"
"216","Bulgaria"
"28887","Bumthang"
"25305","Bur Said"
"24189","Burdur"
"15826","Burgas"
"11578","Burgenland"
"24000","Burgos"
"24867","Buri Ram"
"11592","Burkina Faso"
"577","Burkina Faso"
"11032","Bursa"
"29198","Burtnieku Novads"
"23766","Burundi"
"23868","Burundi"
"28638","Bururi"
"25365","Bury"
"12190","Buryatiya Respublika"
"25026","Busan Gwangyeogsi"
"18631","Buskerud"
"29245","Butel"
"29366","Butha-Buthe"
"26082","Buxoro"
"12074","Buzau"
"26132","Ca Mau"
"29173","Caaguazu"
"29174","Caazapa"
"29748","Cabanas"
"28589","Cabinda"
"29559","Cabo Delgado"
"24015","Caceres"
"29032","Cacheu"
"11415","Cadiz"
"25367","Caerphilly"
"15457","Cagayan"
"10830","Cagliari"
"25759","Cahul"
"29447","Cair"
"11990","Cajamarca"
"15561","Calarasi"
"25760","Calarasi"
"6435","Caldas"
"25375","Calderdale"
"5","California"
"10831","Caltanissetta"
"25236","Camaguey"
"24836","Camarines Norte"
"20081","Camarines Sur"
"557","Cambodia"
"23833","Cambodia"
"25366","Cambridgeshire"
"25379","Camden"
"2365","Cameroon"
"11636","Cameroon"
"24851","Camiguin"
"9710","Campeche"
"10832","Campobasso"
"26139","Can Tho"
"74","Canada"
"19084","Canakkale"
"24936","Canar"
"29960","Canelones"
"28609","Canillo"
"25905","Canindeyu"
"24190","Cankiri"
"29921","Cankova"
"28639","Cankuzo"
"11460","Cantabria"
"29231","Cantemir"
"25043","Canterbury"
"30048","Cao Bang"
"23827","Cape Verde"
"2664","Cape Verde"
"12283","Capital Federal"
"30098","Capital Territory (Honiara)"
"24824","Capiz"
"29675","Caprivi"
"24914","Caqueta"
"23811","Cara'-Severin"
"11486","Carabobo"
"29690","Carazo"
"25107","Carbonia-Iglesias"
"24941","Carchi"
"25383","Cardiff"
"29661","Cargados Carajos Shoals"
"11820","Carlow"
"25380","Carmarthenshire"
"29199","Carnikavas Novads"
"25373","Carrickfergus"
"25225","Cartago"
"24316","Casanare"
"30144","Cascade"
"28662","Cascades"
"10833","Caserta"
"29448","Caska"
"24014","Castellon"
"15522","Castelo Branco"
"28407","Castlereagh"
"30388","Cat Island"
"9818","Catamarca"
"15458","Catanduanes"
"10834","Catania"
"10835","Catanzaro"
"24911","Cauca"
"29230","Causeni"
"11843","Cavan"
"12023","Cavite"
"358","Cayman Islands"
"6459","Cayman Islands"
"28864","Cayo"
"10121","Ceara"
"30330","Cebrayil"
"12029","Cebu"
"30332","Celilabab"
"25982","Celje"
"29445","Centar"
"29446","Centar Zupa"
"29130","Central"
"25329","Central"
"26149","Central"
"29593","Central"
"25576","Central"
"25904","Central"
"26077","Central"
"25925","Central"
"25197","Central"
"25666","Central"
"30096","Central"
"28390","Central Abaco"
"6153","Central African Republic"
"2621","Central African Republic"
"30389","Central Andros"
"25368","Central Bedfordshire"
"28391","Central Eleuthera"
"25914","Central Equatoria"
"28324","Central Finland"
"28323","Central Ostrobothnia"
"25818","Central Region"
"29025","Central River"
"9866","Centre"
"25206","Centre"
"25172","Centre"
"29077","Centre"
"30176","Centre"
"28663","Centre-Est"
"28664","Centre-Nord"
"28665","Centre-Ouest"
"28666","Centre-Sud"
"25369","Ceredigion"
"29763","Cerklje Na Gorenjskem"
"29764","Cerknica"
"29765","Cerkno"
"29922","Cerkvenjak"
"29962","Cerro Largo"
"24912","Cesar"
"29449","Cesinovo-Oblesevo"
"25725","Cesu Novads"
"29200","Cesvaines Novads"
"29615","Cetinje"
"23757","Ceuta"
"15586","Chachoengsao"
"9815","Chaco"
"23834","Chad"
"509","Chad"
"25896","Chagang-Do"
"29788","Chaguanas"
"23788","Chahar Mahall Va Bakhtlari"
"24891","Chai Nat"
"24885","Chaiyaphum"
"30109","Chalatenango"
"19908","Chalkidiki"
"9870","Champagne-Ardenne"
"29205","Champasak"
"24520","Chandigarh"
"24444","Changhua"
"14881","Chania"
